TOT_POP,ICU Beds_x,Population Aged 60+,STATE_FIPS,CNTY_FIPS,anycondition_prevalence,anycondition_number,Obesity_prevalence,Obesity_number,Heart disease_prevalence,COPD_prevalence,COPD_number,diabetes_prevalence,diabetes_number,CKD_prevalence,CKD_number
88690,6,18943,1,115,53.1,36408,38.0,26054,8.3,9.8,6712,13.0,8914,3.2,2181
39006,8,9932,35,39,47.0,14031,33.8,10101,8.5,7.3,2172,17.2,5134,4.4,1304
15631,0,4703,51,77,53.5,6969,38.7,5038,10.7,11.7,1519,14.6,1902,4.0,520
210793,51,54892,42,69,42.8,71785,30.8,51605,8.0,8.4,14087,11.5,19253,3.2,5367
3922,0,1077,48,197,50.3,1552,37.6,1160,10.3,10.0,309,15.4,474,3.9,122
3076,0,933,38,11,41.5,962,31.6,733,8.2,6.9,161,10.9,253,3.1,73
13168,0,2942,16,43,42.0,4103,32.8,3207,7.8,7.6,739,11.5,1125,3.2,313
8233,0,2233,20,31,45.2,2909,37.6,2420,8.1,8.1,519,12.2,788,3.2,205
96493,23,19359,48,231,50.1,36713,37.0,27125,8.3,8.6,6327,12.9,9447,3.3,2413
44176,10,9933,21,9,57.4,19395,42.2,14259,11.0,13.7,4620,16.2,5477,3.8,1270
2303,0,770,8,115,37.8,693,25.5,468,9.3,8.5,156,11.7,215,3.9,72
162805,0,29386,42,27,33.5,46390,27.1,37491,5.6,5.9,8124,8.5,11793,2.4,3326
17673,0,5697,51,141,49.8,7264,37.2,5429,11.0,11.9,1733,15.2,2224,4.2,606
2611,0,807,16,23,38.4,761,28.7,570,9.1,8.3,165,12.9,256,3.6,72
21493,3,5923,31,67,47.1,7839,38.3,6378,8.1,7.7,1278,11.3,1889,3.2,537
5349,0,1497,48,119,50.9,2090,37.1,1524,10.1,10.1,415,14.8,608,3.8,158
43327,9,10654,37,99,43.7,15791,30.4,10984,8.1,8.6,3099,11.5,4157,3.2,1153
26794,0,5924,18,31,43.7,8838,32.9,6659,7.7,9.5,1922,12.2,2467,3.0,606
97645,57,23687,37,45,50.0,38077,36.6,27871,9.2,10.3,7875,14.5,11066,3.7,2832
92003,4,18153,24,9,42.3,29910,30.8,21777,6.3,6.8,4842,11.3,7977,2.7,1898
50923,4,12307,17,141,44.5,17568,33.7,13313,7.8,8.7,3451,11.2,4415,3.1,1243
19779,0,4356,51,79,44.0,6623,33.5,5041,7.6,8.3,1252,11.6,1748,3.1,467
92560,16,31925,34,9,43.5,33175,31.4,23972,8.8,8.4,6437,12.2,9312,3.4,2631
30772,0,6464,51,33,48.3,11444,37.6,8909,7.1,7.6,1794,12.3,2911,3.1,735
8039,0,2020,13,269,55.5,3555,39.4,2524,10.7,12.3,789,19.0,1220,4.6,296
19000,0,3955,13,171,45.3,6835,32.8,4949,7.8,9.1,1372,13.6,2058,3.4,517
12838,0,2860,13,23,46.4,4739,34.1,3484,8.1,9.2,944,13.1,1341,3.5,354
92368,12,16155,21,151,46.0,33675,36.7,26873,7.5,9.4,6893,11.2,8192,2.8,2046
8832,0,1693,21,77,52.1,3488,38.2,2557,9.3,12.3,824,14.3,955,3.2,216
503310,97,98279,34,31,39.5,151561,31.0,118870,6.8,6.7,25533,12.3,47189,3.2,12135
38458,12,9126,29,201,52.0,15184,39.1,11419,9.0,10.8,3157,13.1,3812,3.5,1019
150926,48,33148,24,43,48.7,57494,37.3,43998,7.5,8.7,10262,13.3,15727,3.1,3677
20222,6,4043,40,153,46.9,7156,34.9,5330,7.9,8.1,1241,11.5,1749,2.9,450
67846,0,14070,51,199,38.4,19860,26.3,13594,5.9,5.8,2975,9.9,5128,2.6,1349
7824,0,1439,8,65,35.5,2221,27.8,1741,6.4,6.4,402,9.6,602,3.0,188
40612,0,9631,36,73,49.1,16079,37.5,12283,8.7,10.3,3375,13.1,4289,3.3,1075
2836,0,583,48,79,55.6,1139,42.3,867,10.4,9.8,201,17.9,368,4.4,89
15513,0,4099,13,27,50.4,6113,35.4,4295,10.0,11.4,1381,17.5,2119,4.3,523
8484,0,2550,37,75,51.4,3490,34.3,2329,11.1,12.0,815,14.8,1005,4.0,273
37779,6,8058,18,133,47.0,14283,33.7,10238,7.3,9.2,2792,12.2,3698,2.9,871
31480,0,6608,39,65,49.0,11842,38.4,9278,8.0,9.8,2360,12.1,2926,3.0,729
62567,24,13734,18,173,42.9,20445,31.6,15056,7.0,8.2,3914,11.5,5465,2.8,1338
19759,0,2912,53,1,41.5,5287,36.4,4643,7.9,7.7,981,12.8,1633,3.6,458
40770,0,12422,12,75,53.1,17429,39.5,12962,11.8,13.2,4325,16.8,5516,4.3,1426
47334,6,11941,28,45,49.5,18615,36.5,13731,8.8,9.6,3613,13.2,4983,3.4,1273
705388,59,155147,25,21,32.9,183465,23.8,132718,5.5,4.9,27536,8.2,45784,2.5,13800
17810,0,4640,5,47,49.3,6776,37.3,5124,10.8,11.7,1603,14.4,1979,3.8,517
24087,4,5824,21,183,53.8,9793,36.6,6662,10.5,12.9,2355,15.1,2742,3.5,645
35636,4,7140,18,1,46.4,11355,35.3,8642,8.5,10.9,2676,12.9,3161,3.3,811
8768,0,3066,30,57,34.8,2573,27.8,2057,8.3,7.1,528,11.2,825,3.3,246
5191,0,1286,48,483,50.1,1950,36.4,1416,9.7,9.5,371,14.4,561,3.7,145
826,0,281,30,37,41.9,273,31.5,205,9.1,7.9,52,12.3,80,3.6,23
24440,0,5694,32,1,45.6,8598,31.4,5924,8.1,8.8,1661,11.9,2253,3.2,609
2450,0,675,38,43,49.0,947,37.7,729,10.2,8.7,168,13.3,257,3.8,73
7890,0,2081,19,53,42.4,2614,32.4,1997,8.4,8.2,505,11.2,690,3.4,207
88355,0,17641,51,69,44.2,30020,32.4,22022,7.0,7.3,4991,10.4,7079,2.8,1908
