TOT_POP,ICU Beds_x,Population Aged 60+,anycondition_prevalence,anycondition_number,Obesity_prevalence,Obesity_number,Heart disease_prevalence,COPD_prevalence,COPD_number,diabetes_number,CKD_number,y
88690.0,6.0,18943.0,53.1,36408.0,38.0,26054.0,8.3,9.8,6712.0,8914.0,2181.0,5711
39006.0,8.0,9932.0,47.0,14031.0,33.8,10101.0,8.5,7.3,2172.0,5134.0,1304.0,2546
15631.0,0.0,4703.0,53.5,6969.0,38.7,5038.0,10.7,11.7,1519.0,1902.0,520.0,1398
210793.0,51.0,54892.0,42.8,71785.0,30.8,51605.0,8.0,8.4,14087.0,19253.0,5367.0,13334
3922.0,0.0,1077.0,50.3,1552.0,37.6,1160.0,10.3,10.0,309.0,474.0,122.0,319
3076.0,0.0,933.0,41.5,962.0,31.6,733.0,8.2,6.9,161.0,253.0,73.0,191
13168.0,0.0,2942.0,42.0,4103.0,32.8,3207.0,7.8,7.6,739.0,1125.0,313.0,761
8233.0,0.0,2233.0,45.2,2909.0,37.6,2420.0,8.1,8.1,519.0,788.0,205.0,520
96493.0,23.0,19359.0,50.1,36713.0,37.0,27125.0,8.3,8.6,6327.0,9447.0,2413.0,6117
44176.0,10.0,9933.0,57.4,19395.0,42.2,14259.0,11.0,13.7,4620.0,5477.0,1270.0,3706
2303.0,0.0,770.0,37.8,693.0,25.5,468.0,9.3,8.5,156.0,215.0,72.0,170
162805.0,0.0,29386.0,33.5,46390.0,27.1,37491.0,5.6,5.9,8124.0,11793.0,3326.0,7784
17673.0,0.0,5697.0,49.8,7264.0,37.2,5429.0,11.0,11.9,1733.0,2224.0,606.0,1606
2611.0,0.0,807.0,38.4,761.0,28.7,570.0,9.1,8.3,165.0,256.0,72.0,180
21493.0,3.0,5923.0,47.1,7839.0,38.3,6378.0,8.1,7.7,1278.0,1889.0,537.0,1348
5349.0,0.0,1497.0,50.9,2090.0,37.1,1524.0,10.1,10.1,415.0,608.0,158.0,417
43327.0,9.0,10654.0,43.7,15791.0,30.4,10984.0,8.1,8.6,3099.0,4157.0,1153.0,2926
26794.0,0.0,5924.0,43.7,8838.0,32.9,6659.0,7.7,9.5,1922.0,2467.0,606.0,1565
97645.0,57.0,23687.0,50.0,38077.0,36.6,27871.0,9.2,10.3,7875.0,11066.0,2832.0,7035
92003.0,4.0,18153.0,42.3,29910.0,30.8,21777.0,6.3,6.8,4842.0,7977.0,1898.0,4440
50923.0,4.0,12307.0,44.5,17568.0,33.7,13313.0,7.8,8.7,3451.0,4415.0,1243.0,3076
19779.0,0.0,4356.0,44.0,6623.0,33.5,5041.0,7.6,8.3,1252.0,1748.0,467.0,1148
